16/12/2023 10:38:15.580 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_test - Starting...
16/12/2023 10:38:21.874 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_test - Start completed.
16/12/2023 10:38:24.171 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_dev - Starting...
16/12/2023 10:38:28.380 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_dev - Start completed.
16/12/2023 10:38:38.486 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
16/12/2023 10:38:38.636 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarted:61): Started KlktkotlinApplication.Companion in 27.6 seconds (JVM running for 28.519)
16/12/2023 10:38:38.642 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:40): HELLO MR.KHOAI!
16/12/2023 10:38:38.642 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:42): Active profiles: []
16/12/2023 10:38:44.567 WARN  [main] o.s.b.l.logback.LogbackLoggingSystem (initialize:136): Ignoring 'logback.configurationFile' system property. Please use 'logging.config' instead.
16/12/2023 10:38:44.676 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarting:55): Starting KlktkotlinApplication.Companion using Java 1.8.0_202 on DESKTOP-K4TI3L5 with PID 18984 (E:\Projects\KLKT\klktkotlin\build\classes\kotlin\main started by giangtd-pc in E:\Projects\KLKT\klktkotlin)
16/12/2023 10:38:44.678 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStartupProfileInfo:632): No active profile set, falling back to 1 default profile: "default"
16/12/2023 10:38:46.992 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (initialize:108): Tomcat initialized with port(s): 8088 (http)
16/12/2023 10:38:47.000 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Initializing ProtocolHandler ["http-nio-8088"]
16/12/2023 10:38:47.002 INFO  [main] o.a.catalina.core.StandardService (log:173): Starting service [Tomcat]
16/12/2023 10:38:47.002 INFO  [main] o.a.catalina.core.StandardEngine (log:173): Starting Servlet engine: [Apache Tomcat/9.0.82]
16/12/2023 10:38:47.290 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring embedded WebApplicationContext
16/12/2023 10:38:47.290 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext (prepareWebApplicationContext:292): Root WebApplicationContext: initialization completed in 2524 ms
16/12/2023 10:38:47.431 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_test - Starting...
16/12/2023 10:38:48.336 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_test - Start completed.
16/12/2023 10:38:48.337 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:80): db_oracle_e_ktt_dev - Starting...
16/12/2023 10:38:48.669 INFO  [main] com.zaxxer.hikari.HikariDataSource (<init>:82): db_oracle_e_ktt_dev - Start completed.
16/12/2023 10:38:49.265 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Starting ProtocolHandler ["http-nio-8088"]
16/12/2023 10:38:49.278 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (start:220): Tomcat started on port(s): 8088 (http) with context path ''
16/12/2023 10:38:49.481 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarted:61): Started KlktkotlinApplication.Companion in 5.499 seconds (JVM running for 6.36)
16/12/2023 10:38:49.486 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:40): HELLO MR.KHOAI!
16/12/2023 10:38:49.486 INFO  [main] c.k.klktkotlin.KlktkotlinApplication (main:42): Active profiles: []
16/12/2023 10:39:25.353 INFO  [http-nio-8088-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring DispatcherServlet 'dispatcherServlet'
16/12/2023 10:39:25.353 INFO  [http-nio-8088-exec-1] o.s.web.servlet.DispatcherServlet (initServletBean:525): Initializing Servlet 'dispatcherServlet'
16/12/2023 10:39:25.355 INFO  [http-nio-8088-exec-1] o.s.web.servlet.DispatcherServlet (initServletBean:547): Completed initialization in 2 ms
16/12/2023 10:39:25.412 INFO  [http-nio-8088-exec-1] c.k.klktkotlin.webapi.DvcController (getDataTest:57): objInput Test: {"name":"Add your name in the body"}
16/12/2023 10:39:42.694 INFO  [http-nio-8088-exec-10] c.k.klktkotlin.webapi.DvcController (getData:41): objInput Dev: {"name":"Add your name in the body"}
16/12/2023 10:39:55.704 INFO  [http-nio-8088-exec-8] c.k.klktkotlin.webapi.DvcController (getData:41): objInput Dev: {"name":"Add your name in the body"}
16/12/2023 10:39:59.815 INFO  [http-nio-8088-exec-9] c.k.klktkotlin.webapi.DvcController (getData:41): objInput Dev: {"name":"Add your name in the body"}
16/12/2023 11:57:45.844 WARN  [main] o.s.b.l.logback.LogbackLoggingSystem (initialize:136): Ignoring 'logback.configurationFile' system property. Please use 'logging.config' instead.
16/12/2023 11:57:45.890 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStarting:55): Starting KlktkotlinApplication.Companion using Java 1.8.0_202 on DESKTOP-K4TI3L5 with PID 1372 (E:\Projects\KLKT\klktkotlin\build\classes\kotlin\main started by giangtd-pc in E:\Projects\KLKT\klktkotlin)
16/12/2023 11:57:45.890 INFO  [main] c.k.k.KlktkotlinApplication$Companion (logStartupProfileInfo:632): No active profile set, falling back to 1 default profile: "default"
16/12/2023 11:57:46.867 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer (initialize:108): Tomcat initialized with port(s): 8088 (http)
16/12/2023 11:57:46.873 INFO  [main] o.a.coyote.http11.Http11NioProtocol (log:173): Initializing ProtocolHandler ["http-nio-8088"]
16/12/2023 11:57:46.874 INFO  [main] o.a.catalina.core.StandardService (log:173): Starting service [Tomcat]
16/12/2023 11:57:46.875 INFO  [main] o.a.catalina.core.StandardEngine (log:173): Starting Servlet engine: [Apache Tomcat/9.0.82]
16/12/2023 11:57:47.043 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] (log:173): Initializing Spring embedded WebApplicationContext
16/12/2023 11:57:47.043 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext (prepareWebApplicationContext:292): Root WebApplicationContext: initialization completed in 1111 ms
